   ;CURRENCY_RK;DATA_ACTUAL_DATE;DATA_ACTUAL_END_DATE;CURRENCY_CODE;CODE_ISO_CHAR
1;4586704;2011-09-06;2050-12-31;000;NON
2;50;2017-05-11;2050-12-31;356;INR
3;51;2017-05-11;2050-12-31;484;MXN
4;52;2017-05-11;2050-12-31;434;LYD
5;53;2017-05-11;2050-12-31;422;LBR
